
   t          f(t)        Pn(t)       Er(t)
---------------------------------------------
0.000000     2.718282    2.718282   0.000000
0.006283     2.735361    2.758611   -0.008500
0.012566     2.752438    2.798354   -0.016682
0.018850     2.769511    2.837517   -0.024555
0.025133     2.786578    2.876103   -0.032127
0.031416     2.803636    2.914116   -0.039406
0.037699     2.820685    2.951560   -0.046398
0.043982     2.837720    2.988439   -0.053113
0.050265     2.854741    3.024757   -0.059556
0.056549     2.871746    3.060519   -0.065735
0.062832     2.888731    3.095728   -0.071657
0.069115     2.905695    3.130388   -0.077328
0.075398     2.922635    3.164503   -0.082757
0.081681     2.939550    3.198076   -0.087948
0.087965     2.956437    3.231113   -0.092908
0.094248     2.973294    3.263616   -0.097643
0.100531     2.990118    3.295590   -0.102161
0.106814     3.006907    3.327038   -0.106465
0.113097     3.023659    3.357965   -0.110563
0.119381     3.040372    3.388374   -0.114460
0.125664     3.057042    3.418268   -0.118162
0.131947     3.073669    3.447653   -0.121673
0.138230     3.090249    3.476530   -0.125000
0.144513     3.106780    3.504905   -0.128147
0.150796     3.123260    3.532781   -0.131120
0.157080     3.139686    3.560162   -0.133923
0.163363     3.156056    3.587051   -0.136561
0.169646     3.172367    3.613452   -0.139040
0.175929     3.188617    3.639369   -0.141363
0.182212     3.204804    3.664805   -0.143535
0.188496     3.220925    3.689765   -0.145561
0.194779     3.236977    3.714251   -0.147444
0.201062     3.252959    3.738267   -0.149190
0.207345     3.268867    3.761818   -0.150802
0.213628     3.284700    3.784906   -0.152284
0.219911     3.300454    3.807535   -0.153640
0.226195     3.316127    3.829709   -0.154874
0.232478     3.331718    3.851431   -0.155990
0.238761     3.347222    3.872705   -0.156991
0.245044     3.362638    3.893534   -0.157881
0.251327     3.377964    3.913922   -0.158663
0.257611     3.393196    3.933872   -0.159341
0.263894     3.408332    3.953388   -0.159918
0.270177     3.423371    3.972473   -0.160398
0.276460     3.438308    3.991130   -0.160783
0.282743     3.453143    4.009364   -0.161077
0.289027     3.467872    4.027177   -0.161282
0.295310     3.482492    4.044573   -0.161402
0.301593     3.497002    4.061555   -0.161439
0.307876     3.511399    4.078127   -0.161396
0.314159     3.525681    4.094291   -0.161277
0.320442     3.539844    4.110052   -0.161083
0.326726     3.553887    4.125413   -0.160817
